,edge_type,src_party,src_wing,dst_party,dst_wing,src_account,dst_account,full_text,human_label_amir,human_label_adva,human_label_alon,verdict,Algorithm,prob,Compare,compare with no 0,Amir-change 0,52,85,59
,edge_type,src_party,src_wing,dst_party,dst_wing,src_account,dst_account,full_text,human_label_amir,human_label_adva,human_label_alon,verdict,Algorithm,prob,Compare,compare with no 0,Amir-change 0,52,85,59
30206,quoted_status,Avoda,Left,Avoda,Left,mikiros1,omerbarlev,???????? ???? ????? (: https://t.co/Gy2fy0m16V,1,1,none,1,1,0.8604356,good,good,,,,
12636,free_mentions,Likud,Right,Yesh Atid,Center,dudiamsalem,yairlapid,???? ???? ???? ??? ???? ?? ??? ?????. ??????? ????? ?? ???? ?????? ???? ????. ??? ?? ??????? ?? ????? ?????? ????? ?????. https://t.co/p9mn1JeQuF,-1,-1,none,-1,-1,0.53335345,good,good,,,,
17817,user_mentions,Avoda,Left,Likud,Right,HaimJelin,Israel_katz,@BenCaspit @gidonsaar @Israel_katz ?? ???? ??? ??? ???? ?? ????? ????????  ???? ?????? ?? ???? ??? https://t.co/3PK1sBpEWs,-1,-1,none,-1,-1,0.99937916,good,good,,180,,
40993,free_mentions,Likud,Right,Likud,Right,TzipiHotovely,TzipiHotovely,"????? ???????? ?? ?""? ??????? ?? ????? ?? ??? ??????? ?????? ???""? ????? ????? ?? ??????? ?""? http://fb.me/LYp3kqG8",1,0,none,0,1,0.9789205,bad,good,1,,,
43714,free_mentions,Likud,Right,Likud,Right,YehudahGlick,IsraeliPM,"?? ??? ?????? ??? ""???? ????? ?????"" ??? ??? ?????? ?????? ??????!  ??? ?????? ?????? ??????? ?????? ????? ??? ??? ??? ???? ????? ???. ?? ?? ??? ?????? ?? ???!  ??? ???????? ?????? ????????? ?? ????????? ????? ????? ??? ???? https://t.co/m9RcbHBqk4",1,1,none,1,-1,0.9327293,bad,bad,,,,
8990,free_mentions,Avoda,Left,Avoda,Left,BiranMichal,HavodaParty,"???? ?? @Roy_Folkman ?? ??? ??????? ?????? ??????- ??????? ?????????? ??????? ????. ????? ?? ???? ????? ??? ??? ?? ??????? ?? ???????? ?? ????? ????? ???? ??? ?????????? ?? ??????. ????? ?????? 60,000 ???. ????????? ?? ?????? ??? ???? ?? ????? ?? ??? ???.",1,-1,none,-1,-1,0.64474094,good,good,,,,
1932,free_mentions,Yesh Atid,Center,Likud,Right,aliza_lavie,Likud_Party,????? ?? ???? ??? ??????????? ?? ??? ??????? ????? ??? ??? ????? ????? ?? ??? ?????? ?? ???? https://t.co/UeVLRhJwRG,-1,-1,none,-1,-1,0.9505847,good,good,,,,
35499,free_mentions,Likud,Right,Likud,Right,regev_miri,regev_miri,???? ??? - ?????? - ?????? ????: http://t.co/Ru0iFTFb4W ??? @YouTube,1,1,none,1,1,0.49629474,good,good,,,,
6594,free_mentions,Likud,Right,Likud,Right,ayoobkara,IsraeliPM,"????? ?????? ????? ?? ????? ?? ???????? ?? ??????, ??????? ??? ????? (""??? ????"")- ??? ??? ????? ????? ??????, ???? ????', ??? ??""? ??? ???? ????? ?????  ??????. ??? ???? ??????? ????? ?? ?????? ??????? ??? ??? ?????? ???????. ????? ???? ?? ??? ??? ????? ?????? ??? ???? ???? ???! https://t.co/W38oaNFN41",1,-1,none,0,1,0.63709,bad,bad,,,,
28631,user_mentions,Meretz,Left,Likud,Right,Michal_Rozin,netanyahu,@AfifAbuMuch @netanyahu @regev_miri ???? ????!! ?? ?????,-1,1,none,1,1,0.9774939,good,good,,,,
21679,free_mentions,Israel Resilience Party,Center,Likud,Right,hosen2israel,netanyahu,"?????? ????? ?????? ????: ""???? ????? ????? ?????? ?????? ?????? ?? ??????""",-1,0,none,0,-1,0.59317076,bad,bad,,,,
26580,user_mentions,Culanu,Right,Culanu,Right,Meravbenari,KahlonMoshe,"?????? ???? ??? ?????? ?????? ??? @KahlonMoshe, ????? ?????? ??????? ????????? ???????? ????? ????. ???? ????? ?????? ???????, ?????? ??????? ??????, ???? ???? ?????? ?????? ?????? ?????????? ????? ????? ??????? ?????? ????? ??????. ?? ?? ???? ???? ????? ??????? ????, ????!",1,1,none,1,-1,0.99823785,bad,bad,,,,
32424,free_mentions,Yamin Hadash,Right,Yamin Hadash,Right,newyamin,naftalibennett,"?????, ??? ???? ??? ??????? ?????? (? 21.10.18) ??????? ?????? ????? ??? ?? ????, ???? ?????? ??????? ?????? ??? ????? ?????? ????? ???? ????.  ??? ?????? ???? ?????? ????? ?? ?????? ??? ????",1,-1,none,0,-1,0.93226427,bad,bad,1,,,
12275,free_mentions,Ichud Hayamin,Right,Yamin Hadash,Right,drmichaelbenari,naftalibennett,"???? ??? ????? ???, ??? ??? ???, ??? ?? ????. ?? ?????? ?? ????, ???? ??????? ????? ?? ??????.  ????? ????? ????? ??????! https://t.co/t02uJYttgC",-1,-1,none,-1,-1,0.85062927,good,good,,,,
47729,free_mentions,Meretz,Left,Likud,Right,zehavagalon,netanyahu,"1/ ?????? ???? ???? ????? ???? ??????? ??????, ??? ????? ???? ?? ?? ??????? ??? ??? ?????? ???? ???? ????? ?? ????? ??? ??? ??????. ??????? ???? ????? ??? ???? ???? ?? ????? ?????&gt;&gt;   https://t.co/U4thAAcqIG",-1,-1,none,-1,-1,0.9932729,good,good,,,,
26345,user_mentions,Culanu,Right,Yesh Atid,Center,Meravbenari,KElharrar,"??? ????? ?????, ???? ?????, ???? ?? ????? ??? ?? ??????, ????, ????? ???? ?? ??? ?? ?????????? (???????) @akivanovick ????? ??? ????? ????? ?????? ?????? ??? ??? ???? ??? @KElharrar  ?? ????? ???? ?????? ??? ?? ???. https://t.co/T0vXW1iDna",1,1,none,1,1,0.9500674,good,good,,,,
14486,free_mentions,Avoda,Left,Likud,Right,ErelMargalit,netanyahu,"????? ??? ?? ????, ??? ??? ???? ???, ??? ?? ??? ???: ??????. ?? ?????. https://t.co/skiU2NGoTW",-1,-1,none,-1,1,0.6626553,bad,bad,,,,
22446,free_mentions,Avoda,Left,Likud,Right,Isaac_Herzog,IsraeliPM,?????? ??????? ?????? ?????? ?????? ????? ?????? ???? ?????? ?????? ?? ????? ????? ??????? ????????? ???????. https://t.co/d15R4rDkQQ,-1,-1,none,-1,-1,0.93201256,good,good,,,,
12790,user_mentions,Likud,Right,Avoda,Left,dudiamsalem,HilikBar,@HilikBar ??? ??? ????? ?????. ??? ????? ????.,1,1,none,1,1,0.9980428,good,good,,,,
11757,free_mentions,Likud,Right,Likud,Right,drAnatBerko,oren_haz,"?? ?????? ???, ??? ??""? ?????? ??????! ?????? ?????? ???????? ?? ??? @Tzachi_Hanegbi https://t.co/ZoHRPbKoBQ",1,1,none,1,1,0.7779658,good,good,,,,
48235,free_mentions,Likud,Right,Likud,Right,zoharm7,oren_haz,"@HilikBar ?????? ?? ????? ????? ????? ???, ????? ????? ?????? ?? ??? ?? ???? ??? ??? ????? ????? ?????? ???? ???????.",1,-1,none,-1,-1,0.7595944,good,good,,,,
17578,user_mentions,Gesher,Center,Gesher,Center,HaggaiReznik,Orly_levy,"@Orly_levy ????? ??? , ??? !",1,1,none,1,1,0.953439,good,good,,,,
24889,user_mentions,Likud,Right,Yesh Atid,Center,Likud_Party,YeshAtidParty,@YeshAtidParty @netanyahu Delete your account,-1,-1,none,-1,1,0.7236925,bad,bad,,,,
42210,user_mentions,Yesh Atid,Center,Israel Resilience Party,Center,yairlapid,gantzbe,"?????? ?? @gantzbe ???? ??? ?????? ??? ????? ????? ??? ??? ????? ???, ?????? ?????? ????, ??? ???? ??? ??? ???? ?? ???.",1,1,none,1,-1,0.9960337,bad,bad,,,,
35226,free_mentions,Likud,Right,Likud,Right,regev_miri,regev_miri,. ???? ??? ????? ?????? ?? ???? ????? ???? ??? ???????? ????? ????? https://t.co/JcEcsOjUVx,1,0,none,0,1,0.8560507,bad,bad,,,,
12376,free_mentions,Ichud Hayamin,Right,Shas,Right,drmichaelbenari,davidazuolay,"??? ??????, ??? ????. ??? ????? ?????? ??????? ?????? ??????? ?????? ?????. ?? ???? ???? ??????? ???????? ???. ????? ??????? ?????. https://t.co/5q7xLuiVaA",1,1,none,1,1,0.74711126,good,good,,,,
14166,user_mentions,Avoda,Left,Likud,Right,Eranhermoni,netanyahu,"??????? ?????? ?? @netanyahu , ???????? ????? ????.   ?????? ?? ????? ??????? ?????.   ???? ???? ?????? ??? ???? ????, ????? ???? ????. https://t.co/Wzq2rdEhdw",-1,-1,none,-1,-1,0.9498353,good,good,,,,
2974,user_mentions,Avoda,Left,Avoda,Left,amirperetz,MeravMichaeli,@GiladDekel @HavodaParty @Syechimovich @yayafink @StavShaffir @ishmuli @MeravMichaeli @cabel_eitan @omerbarlev @micZerno ???? ????!,1,1,none,1,1,0.9758911,good,good,,,,
6498,user_mentions,Hadash Taal,Left,Meretz,Left,AyOdeh,tamarzandberg,@saruriariel @tamarzandberg ?? ??? ?????? ??? ????? ?? ??? ???????? ?? ?? ?? ?? ???? ??? ?? ??? ???? ??? ???? ???????,1,-1,none,-1,-1,0.97207516,good,good,,,,
1749,user_mentions,Yesh Atid,Center,Likud,Right,aliza_lavie,giladerdan1,"????? ????. ???? ????? ???? ?????? ?????? ????? ????? ???? ??????? ????? ???????, ????? ???? ????? ????? ??????? ???? ??????? ?????? ?????? ?????? ??????. ???? ?@giladerdan1 ?? ??????? ???????? ????, ????? ??????? ?????????? ???????? ????? ?????. ??? ???, ???????. https://t.co/WKuVleIs91",1,1,none,1,1,0.9130586,good,good,,,,
18042,user_mentions,Avoda,Left,Likud,Right,HaimJelin,YehudahGlick,@YehudahGlick @chaimlevinson ????? ?? ???? ?????? ????.?????? ????? ??????? ???? ?? ???? ?? ?????? ??????? ????.?????? ?? ????? ??? ????????,-1,-1,none,-1,-1,0.7652498,good,good,,,,
37509,free_mentions,Avoda,Left,Likud,Right,StavShaffir,netanyahu,"13 ???? ??????, ?????? ??????? ??????? ?? ???? ????? - ???? ????? ?????? ???? ???????? ??? ?????? ?? ????? ??????? ????? ??? ???? ??? ????? ???? ?????? ??? ???? - ??????. ???? ??? ?? ?????? ???. ????? ????? ????? ??????? ????????? ??????? ??? ????? ??????. ?? ????? ??????, ?????. https://t.co/IFGyyN0410",-1,-1,none,-1,-1,0.6711469,good,good,,,,
33946,free_mentions,Avoda,Left,Likud,Right,omerbarlev,netanyahu,?????? ???? ??? ???? ???? ????? ??? ????? ???????. ???? ??? ?????.. http://t.co/4BMF06Dxwj,-1,-1,none,-1,-1,0.52188665,good,good,,,,
29408,free_mentions,Avoda,Left,Likud,Right,mikiros1,netanyahu,??????? ?????-????? ???????? ???? ?????? ?????? ?? ????? ???????? ???? ??? ???? ?????? ?? ??????? ???? ?????? ????? ???. https://t.co/2bWVPkeZxi,-1,-1,none,-1,-1,0.9434069,good,good,,,,
335,user_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,regev_miri,@guy_glick @regev_miri ???? ?????? ????? ???? ???????..,-1,0,none,0,1,0.57856685,bad,good,1,,,
11237,free_mentions,Likud,Right,Avoda,Left,davidbitan,HavodaParty,@YoavKisch ??? ???? ?????? ???? ?????? ????? ???????? ??????? ???. ????????? ???? ?? ?????? ??????,-1,-1,none,-1,-1,0.6890148,good,good,,,,
43049,free_mentions,Likud,Right,Zehut,Right,YehudahGlick,moshefeiglin,?????????: ?????? ?????? ?????? ????? ?????? ???? ??????????  ??? ?????: 1. ??????? ????? ?? ????? ??????? ???? ????? ???? ?? ????? ???? ??? ???? ?????? ?????? ???? ?? ?? ??? ??? ?? ???. 2. ????? ???? ????? ???????? ????? ???? ????? ?????? ????? ?? ????? https://t.co/eZAiINCENv,0,-1,none,-1,-1,0.94844466,good,good,,,,
34298,free_mentions,Likud,Right,Avoda,Left,oren_haz,ishmuli,@DorSahar @NRozentzweig ?? ?? ??? ??????! ??? ?? ???? ?????? ????? ????,1,-1,none,0,-1,0.88304317,bad,bad,1,,,
797,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,netanyahu,?????? ??????: ???????? ??????? ???? ????? ?? ???? ???????? ????? ???? ???? ??? ???? ?? ???? ??? ???????.???? ?????? ?? ?? ????? ?????? ???.,-1,-1,none,-1,1,0.88183916,bad,bad,,,,
4877,free_mentions,Israel Betenu,Right,Israel Betenu,Right,AvigdorLiberman,Beytenu,"????? ???? ???? ??""?, ????? ???? ?????? ""????? ?????"", ???? ?? ???? ????? ???? 18 ???? ??????? ???? ?? ??????... http://t.co/YeKCQL9B",1,0,none,0,-1,0.8863612,bad,bad,,,,
39050,free_mentions,Avoda,Left,Likud,Right,swid4,netanyahu,"24 ???? ???? ??? ????? ???? ?????? ???? ?? ???? ??? ????, ?? ?????, ???? ????? ??????, ??????? ??? ?? ??? ??? ???? ???? ????? ???. @netanyahu ?? ???? ?? ????? ?????? ??? ?????? ?? ????? ?? ????? ????? ???, ???""? ?? ?? ?????? ??????? ?????? ????? ????? ?????? ?? ???""?!",-1,-1,none,-1,-1,0.96863115,good,good,,,,
43840,quoted_status,Likud,Right,Ichud Hayamin,Right,YehudahGlick,bezalelsm,"????? ??? ??? ?????? ?????? ?? ????? ????? @bezalelsm  ??? ?? ??? ???????? ??????? ?? ??? ??""? ????? ??? ???????? ????? ??""?! ???? ??? ?????  ???? ?????? ???? ??????? @AvigdorLiberman ???? ?? ????? https://t.co/xdNynA4Ekg",1,1,none,1,1,0.9928778,good,good,,,,
43265,user_mentions,Likud,Right,Hadash Taal,Left,YehudahGlick,Ahmad_tibi,@YEnglender @Ahmad_tibi ???? ??? ???? ????? ??? ????? ????? ?????? ??????? ?? ?????? ??????? ????? ?? ??? ??? ????? ????? ???? ???? ???? ?? ?????? ???? ?????? ?? ??? ????? ??? ?????? ???,-1,-1,none,-1,1,0.9781733,bad,bad,,,,
18854,user_mentions,Avoda,Left,Avoda,Left,HassonYoel,swid4,"?????? ?????? ????? ??????? ??? ?????? ?????? ?? ?????? ???""? ??????? ???? 9 ???? ?? ????? ??????.????? ??????? @HerzogMK ???? ????? ????? ?????  @swid4 https://t.co/TbnRFbvXgo",1,1,none,1,1,0.99705327,good,good,,,,
5822,user_mentions,Avoda,Left,Avoda,Left,Ayeletnnv,cabel_eitan,???? ??? @talschneider ??  *?? ??? @cabel_eitan  @globesnews https://t.co/CLioJ1mDhy,1,1,none,1,1,0.9834235,good,good,,,,
41095,free_mentions,Kadima,Left,Likud,Right,Tzipi_Livni,IsraeliPM,"?????? ???????. ????? ????? ??????, ????? ????? ?????? ?????? ??????, ????? ?????? ???? ?? ????? ????? ????? ?????? ??????? ??? ????????. ?????? ????. ?????? ?? ?? ?????? ????????. ??????????, ?? ????? ???????-?????, ??? ?????. https://t.co/3Ei0V9k7Js",-1,-1,none,-1,-1,0.9478215,good,good,,,,
20528,free_mentions,Avoda,Left,Avoda,Left,HavodaParty,Syechimovich,"I added a video to a @YouTube playlist http://t.co/UOA2aoXo ??? ????????': ""?????? ?????? ???? ?????""",1,-1,none,0,1,0.7897145,bad,bad,,,,
44796,free_mentions,Yesh Atid,Center,Likud,Right,YeshAtidParty,netanyahu,"?""? ???? ???? @LapidAtid ?????? @ynet: ?? ????? ???? ?? ????? - ?????? ???? ??????"". http://t.co/zww68c5Nq8",-1,-1,none,-1,-1,0.9181642,good,good,,,,
5743,free_mentions,Avoda,Left,Likud,Right,Ayeletnnv,giladerdan1,"??? ???? ???? ??????, ??? ???? ????? ??????? ?? ?????? ??? ??? ?????? ????? ?? ???? ?????? ?? ???? ???? ????????? ????. ????. @giladerdan1 https://t.co/SwLKZykpq2",-1,-1,none,-1,-1,0.47287133,good,good,,,,
23531,free_mentions,Likud,Right,Likud,Right,Israel_katz,netanyahu,"?????? ?????? ??? ??????? ???????, ?????? ????? ??? ????? ?????? ?????? ?? ????? ??????? ?????? ???? ?????? ?????? ???????? ?? ????? ???????? ???????? ???? ???? ???? ????? ???? ?????. ?????? ????????, ?? ??? ??? ??? ???????? ?????.",1,-1,none,0,-1,0.977705,bad,bad,,,,
17975,user_mentions,Avoda,Left,Likud,Right,HaimJelin,davidbitan,???? ??? ????? .???? ??????? ??? ??? .????? ?? ?????? ???? ?????? .@davidbitan ??? ?????? ????? .??? ???? ! https://t.co/fvjL3ZESsY,0,1,none,1,1,0.77350205,good,good,,,,
17362,free_mentions,Likud,Right,Yamin Hadash,Right,GilaGamliel,Ayelet__Shaked,????? ????? ???? ?????? ??? ???. ?? ???? ??????? ????? ??? ?????? ???? ????. ??????? ???????. ????? ???? ????.,-1,1,none,-1,1,0.80844253,bad,bad,,,,
30185,free_mentions,Avoda,Left,Avoda,Left,mikiros1,mikiros1,"???? ???? ?? ???? ??????: ""??????? ??? ????? ??? ????"" - ?????!  https://t.co/f2hOVRcCVQ",1,-1,none,0,1,0.8879913,bad,good,1,,,
1608,free_mentions,Yesh Atid,Center,Meretz,Left,aliza_lavie,Michal_Rozin,"?????? ?? ???? ??????! ???? ??? ??????? ??? ????? ????? ???????? ???? ??????. ?????? ??? ???? ??? ???? ??? ??? ?????? ?? ????? ???? ??, ??????? ???????. ??? ??? ???????? Michal Rozin ???? ????? ????? ????? ?????... https://t.co/zLkMY6Xo4q",1,-1,none,-1,-1,0.92520815,good,good,,,,
31693,free_mentions,Yamin Hadash,Right,Likud,Right,naftalibennett,giladerdan1,"&gt;&gt;?????? ????? ?????? ??????? ???????.  ????? ???? ?? ????? ????, ???? ?? ?????? ?? ????? ???? ???? ?? ??? ??? ?????? ???? ???? ??? ?????? ???? ?????? ????? ?????? ??, ????? ???????? ?????????.  ????? ???? ??????? ??? ????? ????. ?? ????? ??? ???? ????? ?? ???? ??????, ????? ??.",0,1,none,0,1,0.9572686,bad,bad,,,,
29389,user_mentions,Avoda,Left,Likud,Right,mikiros1,netanyahu,@malic56 @PninaKatz @netanyahu https://t.co/QuOtYJDpLZ,-1,0,none,0,1,0.7236925,bad,bad,-1,,,
25804,user_mentions,Culanu,Right,Avoda,Left,Meravbenari,ishmuli,"??? ??? ??? ??? ??? ????? @ishmuli ???? ????? ??? ????. ????? ?? ??? ???? ???? ???? ???, ????  ?? ??? ???? ????? ??? ????.. ????? ???? ?????? ?? ??? ?????. ??? ???!???????????????????",1,1,none,1,1,0.9980197,good,good,,,,
23571,free_mentions,Likud,Right,Likud,Right,Israel_katz,IsraeliPM,"???? ??????? ?????? @netanyahu ????? ?? ??????? ?????? ?????. ???, ???? ??? ????",1,1,none,1,1,0.915193,good,good,,,,
46316,free_mentions,Avoda,Left,Likud,Right,YossiYonah,netanyahu,????? ???? ?? ????? ?????? ????? ?????? ????? ???????? ???? https://t.co/naTNXUWaxe,-1,-1,none,-1,-1,0.95197356,good,good,,,,
21779,free_mentions,Yesh Atid,Center,Likud,Right,idanroll,netanyahu,"????? ????? ????? ????? ?????? ?????? ?????? ?????????? ????? ???? ?'???' ???????, ?? ????? ?????? ???. ?????? ???? ????????? ?? ?????? ???? ?? ????? ?????? ?????? ??????, ?????? ????.",-1,-1,none,-1,-1,0.8794518,good,good,,,,
