,edge_type,src_party,src_wing,dst_party,dst_wing,src_account,dst_account,full_text,human_label_amir,human_label_adva,human_label_alon,verdict,Algorithm,prob,Compare,compare with no 0,Amir-change 0,52,85,59
39315,user_mentions,Avoda,Left,Likud,Right,swid4,netanyahu,?? ????? ???? ????? ??? ???? @netanyahu ?? ????? ???? ????? ?????? ??? ???? ??? ??? ??????! https://t.co/WBAmNEHYLk,-1,none,-1,-1,-1,0.977446,good,good,,,,
20904,free_mentions,Avoda,Left,Avoda,Left,HavodaParty,HavodaParty,"??""? ????? ??????, ??? ????????', ???? ?? ?????? ?? ???? ?????? ????? ?????? ?? ????? ?????? ??????. ""????? ??? ??... http://t.co/T7Gp2pbb",1,none,0,0,-1,0.9409454,bad,bad,,,,
12687,free_mentions,Likud,Right,Yesh Atid,Center,dudiamsalem,yairlapid,????? ????? (??? ????? ?? ?????) ???? ?? ???? ???? ??? ????? ????? ?? 10 ???? ????. ????? ?????? ????? ?? ????? ??? ?? ?? ??? ???? ?? ????? ??? ?????. ???? ???? ??? ???? ??? ???? ??? ??? ?? ???????. ???? ?? ??. https://t.co/oMXM9jsw2H,-1,none,-1,-1,-1,0.7426115,good,good,,,,
14545,free_mentions,Avoda,Left,Likud,Right,ErelMargalit,IsraeliPM,"???? ?? ??? ???, ?? ??????. ????, ??? ??? ???? ????? ????? ????? ?????. ??? ????? ????. https://t.co/J9fhppie7c",-1,none,0,-1,-1,0.92602044,good,good,,,,
24283,quoted_status,Yesh Atid,Center,Yamin Hadash,Right,KElharrar,Shuli_MR,?? ????? ?@Shuli_MR ?? ????? ???? ?????? ????? ???? ?????? ???? ????? ?????????. ????? ??? ??? ???????? ??????????. ????? ??? ?????? ????? ??????. https://t.co/BchC2CkKPs,1,none,1,1,1,0.99566585,good,good,,,,
22891,user_mentions,Avoda,Left,Avoda,Left,ishmuli,Syechimovich,@GiladDekel @HavodaParty @Syechimovich @yayafink @StavShaffir @amirperetz @MeravMichaeli @cabel_eitan @omerbarlev @micZerno ???? ???? ????,1,none,1,1,1,0.97110623,good,good,,,,
5467,free_mentions,Avoda,Left,Zehut,Right,Ayeletnnv,moshefeiglin,"????? ???? ????? ??????? ??? ?? ????? ????????. ?? ???? ?????? ???? ?????? ??????? ??????? ??????? ????? ??????? ??? ?????? ?????? ???,??? ??? ?????? ?? ?? ????? ??????.....",-1,none,-1,-1,-1,0.8352044,good,good,,,,
44591,user_mentions,Yesh Atid,Center,Avoda,Left,YeshAtidParty,HaimJelin,"????? ?????? ?? ?""? @HaimJelin ???? ?????? ????? ??? ????? ???? ????? ?? ????? ????? ???????? ?? ????? ?????? ????? ??????? ???? ???.",1,none,0,0,1,0.4641542,bad,bad,,,,
46482,user_mentions,Avoda,Left,Culanu,Right,YossiYonah,Roy_Folkman,"@RonRone67 @KahlonMoshe @Roy_Folkman ???? ????? ??????,? ??? ??????!",1,none,1,1,1,0.5333105,good,good,,,,
7332,free_mentions,Israel Betenu,Right,Israel Betenu,Right,Beytenu,robertilatov,"?????? ???????? ?????? ???? ??? ??? --------------------------------------------- ???? ???? ?? ?""? ????? ??????... https://t.co/F7UJdUTF3u",1,none,1,1,1,0.97666806,good,good,,,,
9202,free_mentions,Avoda,Left,Likud,Right,BiranMichal,IsraeliPM,???? ????? ??????? ??????? ???? ?? ?? ??? ??????. https://t.co/a6omtR93sT,0,none,0,0,1,0.94204074,bad,bad,,,,
2055,user_mentions,Yesh Atid,Center,Yesh Atid,Center,aliza_lavie,YeshAtidParty,"??? ???? ???? ?????, ?? ???? ???? @YeshAtidParty ???? ???????, ?? ???? ???????! ???? ??? ???? ?????? ??????! https://t.co/qBsaEukOxP",1,none,1,1,1,0.922349,good,good,,,,
37747,free_mentions,Avoda,Left,Likud,Right,StavShaffir,netanyahu,"@YoazHendel1 ???? ????? ??? ???? ????? ???? ??? ?? ?? ??? ?????? - ????, ?? ????, ????? ??? 2?????? - ???? ?????? ????? ?? ????? ?????? ?????????. ????? ??? ??? ????? (?????) ???????? ?????? (????). ?????? ?????? ?? ????? ??? ????? ??? ????? ?????? ??? ??",-1,none,-1,-1,-1,0.83474016,good,good,,,,
46406,free_mentions,Avoda,Left,Avoda,Left,YossiYonah,HavodaParty,"@meravi11 @sbyifat @Roy_Folkman @azariarachel ???? ????? ?????!!! ?? ?? ???? ????? ??????? ????!!!! ???? ?? ?????? ??? ????? ?????? ?? ???? ????? ???? ?? ????? ????? ?? ????? ??????? ??? ???????? ?????? ??????? ?? ??? ????? ??, ?? ?????? ???????, ??? ????",1,none,-1,-1,-1,0.99182457,good,good,,,,
21856,free_mentions,Yesh Atid,Center,Yamin Hadash,Right,idanroll,naftalibennett,"???, ?????? ???? ??? ????? ??? ????? ????? ??? ??? ???? ????? ????? ????. ???? ???. https://t.co/unDcLAUwLd",-1,none,-1,-1,1,0.91518414,bad,bad,,,,
15328,free_mentions,Avoda,Left,Likud,Right,EyalBenReuven,regev_miri,"??? ?????? ??? ????.?? ??? ??? ????.?? ???? ???? ???? ,????? ??????? ??? ???? ??????? ????? ?? ?? ?????.?????? ?????.????? ??? ??????.?????.?? ?????.??? ??? ????????? ????????.?? ??? ??? ???? ????????",-1,none,-1,-1,-1,0.9639996,good,good,,,,
32841,free_mentions,Likud,Right,Likud,Right,OfirAkunis,OfirAkunis,"????? ? - 175,00 ????? ??? ????? ????? ??? ???? ?? ??? ????? ??????. ????? ??????, ????? ?????? ????? ???????,... http://t.co/3AkEmmGm",1,none,0,0,-1,0.5869822,bad,bad,,,,
34886,free_mentions,Israel Resilience Party,Center,Avoda,Left,ramshefa,ishmuli,"?????? ????? ????????? @YouTube http://t.co/1D5XnVtkcY ????? ?????, ??""? ???????",1,none,0,0,1,0.7236925,bad,bad,,,,
46517,free_mentions,Avoda,Left,Likud,Right,YossiYonah,netanyahu,"??????: ????? ??? ????? ????? - ??? ???? ??????.? ??, ???? ??? ????? OECD ???? ????? ?????... https://t.co/CDbDy5xtZE",-1,none,-1,-1,1,0.8490564,bad,bad,,,,
35672,free_mentions,Zehut,Right,Avoda,Left,ronzafrir,HavodaParty,??? ?????.  ????? ?????? ????? ?? ????. ???? ????? ????. ??????? ?????. ?????? ???????. ??????? ?? ???. ?????? ??????. ?????? - ????? ????? ????.  ???? ???? ?? ??????.,0,none,0,0,-1,0.46928304,bad,bad,,,,
4575,free_mentions,Likud,Right,Yesh Atid,Center,avidichter,yairlapid,"??? ???, ??? ?? ??? ?????? ?????? ???? ????? ????, ??? ?????? ???? ???? ?? ????. ????? ?????? ??????? ????? ????? ???????. ?? ???? ??? ?????? ??? ????? ??? ????? ???? ??? ?? ??????? ?? ????? ??????... ?? ?? ????? ?????. ?? ?? ????? ?????. ??? ????? https://t.co/RP1O8KeKHq",-1,none,-1,-1,-1,0.91807705,good,good,,,,
6219,free_mentions,Hadash Taal,Left,Likud,Right,AyOdeh,IsraeliPM,"????? ?????? ?????: ?????????? ????? ??????? ???? ????? ????????? ?? ????? ??????? ?????? ?????? ????? ?????? ???? ???? ????. ?????? ?? ????? ?????? ?? ????? ?? ?????, ???? ?? ???????",-1,none,-1,-1,-1,0.88835317,good,good,,,,
5742,user_mentions,Avoda,Left,Likud,Right,Ayeletnnv,giladerdan1,"??? ???? ???? ??????, ??? ???? ????? ??????? ?? ?????? ??? ??? ?????? ????? ?? ???? ?????? ?? ???? ???? ????????? ????. ????. @giladerdan1 https://t.co/SwLKZykpq2",-1,none,-1,-1,-1,0.47287133,good,good,,,,
47094,free_mentions,Avoda,Left,Yamin Hadash,Right,YossiYonah,naftalibennett,"?????? ?????? ?? ???? ???""? ?????? ?????! ????? ??? ??? ?????? ?????? ??? ???? ??...  https://t.co/hIVcG7cJre",0,none,0,0,-1,0.983914,bad,bad,,,,
44565,user_mentions,Yesh Atid,Center,Yesh Atid,Center,YeshAtidParty,yairlapid,"@yairlapid ???? ??????: ""????? ?????? ????? ????? ??????? ????? ??? ????? ?????? ??? ?? ????? ???? ??? ???? ??????""",1,none,0,0,1,0.9769508,bad,bad,,,,
36628,user_mentions,Culanu,Right,Avoda,Left,sbyifat,YaelCohenParan,"@Michal_Rozin @arikbender @YaelCohenParan ???? ????, ?? ?? ??? ??? ????? ????, ?????, ?????? ????????, ?????? ???? ????.... ?? ???? ?????, ????? ??????? ???""? ?????? ??? ????? ?? ????? ?? ??? ????? ??? ??? ?? ????, ?????- ???? ??????? ???????. ?? ??? ?? ?",-1,none,-1,-1,-1,0.97099113,good,good,,,,
37867,free_mentions,Avoda,Left,Likud,Right,StavShaffir,IsraeliPM,"?????? ???? ???? ?????? ???? ??? ??? ???? ?????? ?????? ????. ??????? ?? ?????? ?????? ??? ????? ?? ????? ??? ?????. ???????, ??? ????, ??? ?????. ????? ?? ???????? ?????: https://t.co/tM00829Prd",-1,none,-1,-1,-1,0.6252038,good,good,,,,
25317,user_mentions,Avoda,Left,Yesh Atid,Center,ManuelTraj,GermanYael1,"@ManuelTraj ?????? ??? ?? ?""? ???? ?? ?????, ??? @Ayeletnnv @Ahmad_tibi @GermanYael1 ????? ????? ?????? ????, ?????? ????? @MatanHodorov",1,none,1,1,1,0.8472584,good,good,,,,
12077,free_mentions,Ichud Hayamin,Right,Yamin Hadash,Right,drmichaelbenari,naftalibennett,"???? ????, ??? ????? ?? ???? ??? ?????? ??????? ?????? ????? ???????? ????? ??????? ???? ?? ????? ???? ??? ????. ?????? ???? ????? ?12 ?????? ?? ???. https://t.co/IPJGvPQgCG",-1,none,-1,-1,-1,0.99663985,good,good,,,,
27865,free_mentions,Avoda,Left,Likud,Right,MeravMichaeli,IsraeliPM,???? ?????? ???? ?????? ?????? ???? ?????. https://t.co/nO8eV4A1L9,-1,none,0,0,-1,0.9732593,bad,bad,,,,
36420,free_mentions,Ichud Hayamin,Right,Yesh Atid,Center,saruriariel,yairlapid,"?????? @GermanYael1, ?? ?????? ?????? ?? ????? ????? ????, ??? ?? ??? ???? ???? ??? ??????, ???? ????.",-1,none,-1,-1,1,0.9139429,bad,bad,,,,
14972,free_mentions,Avoda,Left,Culanu,Right,ErelMargalit,KahlonMoshe,"??? ??? ?????? ?????? ???? ?? ?????? ???? ??????, ??? ?????, ??? ?????? ?????. ??? ?? ????? ?????? ???? ?????? ?????. #?????????????",-1,none,-1,-1,-1,0.8433035,good,good,,,,
34986,user_mentions,Yesh Atid,Center,Blue and White,Center,Ram_Ben_Barak,BlueWhite2019,???? ???? ??? ?????? ????? ?????? ?????? ???? ??????; ??? ??? ??? ??????? ????? ??? ??????? ?? @BlueWhite2019 ???? ????? ???? - ???? ?????. ?????? ??? ????? ?? ???? ??? ???? ???? ????? ????.,1,none,1,1,1,0.97538424,good,good,,,,
28363,user_mentions,Avoda,Left,Avoda,Left,MeravMichaeli,ishmuli,@ishmuli ??????? ????? ????,1,none,1,1,1,0.84312195,good,good,,,,
37629,user_mentions,Avoda,Left,Avoda,Left,StavShaffir,Syechimovich,@NativNoam @HavodaParty @Syechimovich @ishmuli @cabel_eitan @omerbarlev @amirperetz @yayafink @EmilieMoatti @YossiYonah @mk_mizrahimoshe ???? ??? ! ????? ??? ?????.,1,none,1,1,1,0.989817,good,good,,,,
24574,user_mentions,Avoda,Left,Likud,Right,KseniaSvetlova,netanyahu,??????-????????. ??????? ?????? ??????? ?? @netanyahu ?? ????. ?? ??? ????? ??? ???? ??? ?? ???? ????? ???? ????? ?? ???????? ???????? ??????. #???_???????,-1,none,-1,-1,-1,0.56160015,good,good,,,,
38734,user_mentions,Avoda,Left,Ichud Hayamin,Right,StavShaffir,bezalelsm,"@bezalelsm @yaronavraham ?????????? ???????? ?? ????? ??? ???? ??????. ????????? ????? ?????? ???? ??????? ??? ?????, ??? ?????? ??????",-1,none,0,-1,1,0.9487788,bad,bad,,,,
34258,free_mentions,Likud,Right,Likud,Right,oren_haz,IsraeliPM,"??""? ??????, ??? ???? ?? ?????? ?????? ?? ??? ????. ?? ?? ?? ?? ?? ???????? ?????? ??? ????, ?? ???? ?? ????? ?????.  ????? ????? ???? ?????? ????? ????? ?? ??? ????? ?????? ?? ?????? ???? ????? ?""? ?????? ????? ????? ??? ?????? ??? ??????? ?????? ????? ?????? ?????? ?? ??????.",-1,none,1,-1,-1,0.953304,good,good,,,,
15592,free_mentions,Avoda,Left,Likud,Right,GabbayAvi,IsraeliPM,"????? ??? ?????? ?????? ?? ????. ?????? ???? ?? ???????. ????? ?????, ??? ??? ????? ????? ??????. ?????? ???? ?? ?? ???? ???? ????? ?? ?????? ????. https://t.co/aTctMg8sCv",-1,none,-1,-1,-1,0.99510574,good,good,,,,
20096,free_mentions,Avoda,Left,Avoda,Left,HavodaParty,Syechimovich,"??? ????????, ????? ?????? ???? 10: ""?????? ???? ???? ????? ????? ????? ????? ??? ????, ????? ???? ????? 21... http://t.co/UFHEjoWzCM",1,none,0,0,-1,0.9781472,bad,bad,,,,
27436,free_mentions,Avoda,Left,Likud,Right,MeravMichaeli,netanyahu,"?? ?? ?? ?? ??????, ??? ?????? ?? ???? ??? ??? ?????? ??? ???????? ????? ?? ??? ????????, ??? ?????? ?????? ???? ""????????"" ??? ???? ?????? ???? ??????.",-1,none,-1,-1,-1,0.9754866,good,good,,,,
47652,free_mentions,Meretz,Left,Likud,Right,zehavagalon,netanyahu,"???? ????? ???? ????? ???????, ???? ???? ???????? ?? ??? ??????. ?? ????? ??? ??? ??????? ???? ??????? ????. ?? ????? ????? ??????? ?? ???, ??? ??? ???? ?????. ?? ???????? ?????????? ?? ??????, ??? ??? ????? ????? ?? ??????. ?? ?? ????? ??? ????? ????"" https://t.co/qlIWqEbrYG",-1,none,-1,-1,-1,0.8889217,good,good,,,,
38552,free_mentions,Avoda,Left,Likud,Right,StavShaffir,IsraeliPM,???? ??? ???? ?????? ?? ??? ????? ????? ???? ????? ????? ???? ???? ????? - ?? ???? ????? ?? ?????? ?????? ?? 300 ????? ?????????,-1,none,-1,-1,1,0.45743003,bad,bad,,,,
4748,free_mentions,Israel Betenu,Right,Yesh Atid,Center,AvigdorLiberman,YeshAtidParty,"????? ?????? ?????? ??""? ???? ??? ???? ????? ?? ?""? ???? ????. ??? ??? ???? ?????? ??? ????? ???????? ?????? ????? ????. ??? ???? ??? ??? ???? ???? ??? ????? ??? ???""? ?? ????.",-1,none,-1,-1,1,0.9664765,bad,bad,,,,
13151,free_mentions,Yesh Atid,Center,Likud,Right,Elazar_stern,netanyahu,???? ?????? ?? ?????? ??? ????? ??????? ???? ?????? - ???? ???? ?????? ???? ????.  ?? ????? ?? ????? ?????... http://t.co/gMmADkd7tH,-1,none,-1,-1,1,0.6380405,bad,bad,,,,
48601,quoted_status,Israel Resilience Party,Center,Israel Resilience Party,Center,ZviHauser,ZviHauser,@LapidAtid @YunaLeibzon ??????? ???? :https://t.co/3rBT2CYUiz,1,none,0,0,1,0.7421986,bad,bad,,,,
48299,user_mentions,Likud,Right,Yesh Atid,Center,zoharm7,KElharrar,"@KElharrar @KElharrar ??? ?????????, ?? ?? ?? ??????? ?????? ???. ???? ?????? ?????? ??? ??????? ??????. ?????? ?? ???? ????? ????? ?? ????? ????.",-1,none,-1,-1,-1,0.8673719,good,good,,,,
12152,free_mentions,Ichud Hayamin,Right,Yamin Hadash,Right,drmichaelbenari,naftalibennett,@Gidon_Dokow @ronnyeps @Roy_Iddan ???? ???? ???? ????.,-1,none,0,0,1,0.9077307,bad,bad,,,,
17572,free_mentions,Likud,Right,Likud,Right,GilaGamliel,GilaGamliel,"?""? ???? ?????? - Gila Gamliel ???? ???? ??? ???? ???? ?????? ????? ?????? ????? http://t.co/ThKGrTBa http://t.co/yNWasO16",1,none,0,0,1,0.7116174,bad,bad,,,,
786,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,IsraeliPM,"????,???? ???? ?????  ?????? ??? ??? ??????  ?? ???? ?????.????? ???  ??? ?????.??? ???? ??? ????? ????? ????.??? ?? ???? ??? ?????.",-1,none,-1,-1,1,0.9774369,bad,bad,,,,
746,free_mentions,Hadash Taal,Left,Ichud Hayamin,Right,Ahmad_tibi,MotiYogev,https://t.co/gKcsPyGOJO ???? ???? ??? ?D9 ???? ????.???????  ??????? ????????.,-1,none,-1,-1,1,0.9025381,bad,bad,,,,
751,free_mentions,Hadash Taal,Left,Likud,Right,Ahmad_tibi,netanyahu,?? ?????? ?????? ?????: ??? ??????? ?????? ?????? ????? ?? ?????? ???? ????.. https://t.co/ddpzSrgiVh,-1,none,0,-1,-1,0.9902838,good,good,,,,
23420,user_mentions,Avoda,Left,Avoda,Left,ishmuli,EyalBenReuven,"????, ???? ?? ?? ??????? ??????????? ?????????? ???? ????? ?????. ???? ????? ????? ?????? ?? ???? @EyalBenReuven ????? ????? ??????? ????? ??? ???. https://t.co/nq2Ou5ZWGa",1,none,1,1,1,0.9922443,good,good,,,,
15710,free_mentions,Avoda,Left,Avoda,Left,GabbayAvi,HavodaParty,"????? ?? ?? ?????. ?""? ???? ????, ??? ????? ??????, ????? ??? ?????? ??? ????????? ???????. ????? ?? ?????? ??? ?????? ????. @StavShaffir https://t.co/6OHEOe5JUl",1,none,1,1,1,0.95172274,good,good,,,,
4158,free_mentions,Avoda,Left,Likud,Right,amirperetz,netanyahu,"????, ?? ?? ????? ????? ??????? ???? ?? ????  ????""? ?-20:00 ????? ???? ??? ?????, ??? ???? ??? ???' ?????? 8... http://t.co/vna2Z7kq",0,none,0,0,1,0.5466013,bad,bad,,,,
5733,quoted_status,Avoda,Left,Yamin Hadash,Right,Ayeletnnv,naftalibennett,???? ??? @naftalibennett ????? ??????? ????? ?????? ???. ?? ????? ??????? ????? ?? ?????????? ????. ??? ????? ?? https://t.co/wMBKPUpIRZ,1,none,1,1,1,0.9941717,good,good,,,,
46072,user_mentions,Avoda,Left,Avoda,Left,YossiYonah,HavodaParty,"@EmilieMoatti @NativNoam @HavodaParty @Syechimovich @StavShaffir @ishmuli @cabel_eitan @omerbarlev @amirperetz @yayafink @mk_mizrahimoshe ????, ???? ?? ?????? ??? ?????!!??",1,none,1,1,1,0.9747704,good,good,,,,
33,free_mentions,Hadash Taal,Left,Israel Resilience Party,Center,Ahmad_tibi,gantzbe,"????? ??????? ????? ?????? ?? ??? ??? ?????????. ?? ????? ???, ??? ?????? ?????? ?????? ???? ???? ?????? ??????. ?? ?? ????? ?????????. https://t.co/4Um8GU7yn7",-1,none,-1,-1,-1,0.9886043,good,good,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
